,Data,Point In,TAGs Out,Total TAGs
225,14/08/2021,0.9587990487514864,28,116
226,15/08/2021,0.9740190249702735,5,116
227,16/08/2021,0.9681331747919144,105,116
228,17/08/2021,0.9741379310344828,3,116
229,18/08/2021,0.9728894173602853,20,116
230,19/08/2021,0.9646254458977408,21,116
231,20/08/2021,0.9684898929845422,4,116
232,21/08/2021,0.9679548156956005,23,116
233,22/08/2021,0.9725921521997621,22,116
234,23/08/2021,0.9740190249702735,20,116
235,24/08/2021,0.9749702734839477,18,116
236,25/08/2021,0.979013079667063,19,116
237,26/08/2021,0.9802021403091558,20,116
238,27/08/2021,0.982282996432818,21,116
239,28/08/2021,0.9837098692033294,17,116
240,29/08/2021,0.9833531510107015,8,116
241,30/08/2021,0.9824613555291319,11,116
242,31/08/2021,0.975089179548157,22,116
243,01/09/2021,0.8915576694411415,14,116
244,02/09/2021,0.8853151010701545,15,116
245,03/09/2021,0.671640903686088,96,116
246,04/09/2021,0.19357907253269918,106,116
247,05/09/2021,0.12110582639714626,109,116
248,06/09/2021,0.07758620689655173,110,116
249,07/09/2021,0.06950059453032105,110,116
250,08/09/2021,0.08656361474435197,106,116
251,09/09/2021,0.08620689655172414,106,116
252,10/09/2021,0.08923900118906064,106,116
253,11/09/2021,0.10219976218787158,106,116
254,12/09/2021,0.11545778834720571,103,116
255,13/09/2021,0.11010701545778835,105,116
256,14/09/2021,0.11010701545778835,104,116
257,15/09/2021,0.12366230677764566,103,116
258,16/09/2021,0.12931034482758622,101,116
259,17/09/2021,0.11795481569560047,103,116
260,18/09/2021,0.10612366230677765,104,116
261,19/09/2021,0.10743162901307966,104,116
262,20/09/2021,0.10386444708680143,105,116
263,21/09/2021,0.1098692033293698,104,116
264,22/09/2021,0.10695600475624256,104,116
265,23/09/2021,0.11064209274673008,105,116
266,24/09/2021,0.10487514863258027,104,116
267,25/09/2021,0.10344827586206896,104,116
268,26/09/2021,0.10344827586206896,104,116
269,27/09/2021,0.10362663495838288,104,116
270,28/09/2021,0.20469678953626635,108,116
271,29/09/2021,0.9819857312722949,14,116
272,30/09/2021,0.9902497027348395,8,116
273,01/10/2021,0.9913793103448276,1,116
274,02/10/2021,0.9851961950059454,2,116
275,03/10/2021,0.984601664684899,2,116
276,04/10/2021,0.9875743162901308,3,116
277,05/10/2021,0.9891200951248513,2,116
